,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Banda ancha fija,Dial up,Mbps (Media de bajada),Total_conexiones
197,2020,3,Córdoba,276360,430771,102217,48.368,9.756,867417,55,34,867472
198,2020,3,Corrientes,50858,58681,2960,5.513,5.379,123388,3,24,123391
199,2020,3,Entre Ríos,87892,106950,13954,20.379,12.32,241482,13,22,241495
200,2020,3,Formosa,21790,10003,2000,15.023,393.0,49209,0,18,49209
201,2020,3,Jujuy,32611,57682,11112,952.0,4.371,106728,0,22,106728
202,2020,3,La Pampa,9015,56845,14677,11.893,1.305,93619,116,11,93735
203,2020,3,La Rioja,17346,34984,1,250.0,35.0,52613,3,12,52616
204,2020,3,Mendoza,91908,64672,32817,17.523,868.0,207173,615,10,207788
205,2020,3,Misiones,50195,77989,2572,3.445,8.985,143186,0,24,143186
206,2020,3,Neuquén,30222,70446,11043,16.787,737.0,128862,373,31,129235
207,2020,3,Río Negro,49530,40001,10381,13.187,18.368,130966,501,21,131467
208,2020,3,Salta,58216,84128,25445,5.764,7.293,180844,2,25,180846
209,2020,3,San Juan,40092,9223,5509,14.023,8.48,77071,256,6,77327
210,2020,3,San Luis,8401,10077,6,61.828,36.253,116417,148,21,116565
211,2020,3,Santa Cruz,12845,16098,1027,6.938,2.373,39084,197,7,39281
212,2020,3,Santa Fe,295051,405807,45721,37.112,19.307,802861,137,26,802998
213,2020,3,Santiago Del Estero,26419,70720,555,4.185,3.613,105491,1,11,105492
214,2020,3,Tierra Del Fuego,12854,26491,0,0.0,310.0,39366,289,9,39655
215,2020,3,Tucumán,149605,11752,59949,1.808,762.0,223854,22,35,223876
216,2020,2,Buenos Aires,661272,2244277,723072,91.736,57.189,3772480,5066,46,3777546
217,2020,2,Capital Federal,178896,1106133,39482,3.937,29.373,1356431,1390,60,1357821
218,2020,2,Catamarca,26968,3641,14878,261.0,2.228,47975,1,35,47976
219,2020,2,Chaco,46816,56017,17266,6.452,1.581,128129,3,28,128132
220,2020,2,Chubut,45761,38279,1324,17.678,5.614,107831,825,8,108656
221,2020,2,Córdoba,282858,415007,85818,44.522,8.263,836413,55,31,836468
222,2020,2,Corrientes,51248,55536,3144,3.927,5.011,118863,3,22,118866
223,2020,2,Entre Ríos,89391,99423,13954,20.042,11.303,234100,13,20,234113
224,2020,2,Formosa,21805,9353,1882,14.723,169.0,47932,0,17,47932
225,2020,2,Jujuy,32705,38938,5057,952.0,16.664,94316,0,16,94316
226,2020,2,La Pampa,8551,54422,14232,11.314,1.29,89693,116,8,89809
227,2020,2,La Rioja,16885,34984,1,250.0,35.0,52152,3,12,52155
228,2020,2,Mendoza,91904,62941,29613,15.924,802.0,200569,615,9,201184
229,2020,2,Misiones,50792,74497,2579,3.319,9.153,140340,0,23,140340
230,2020,2,Neuquén,30256,67990,11037,15.755,1.134,125799,373,29,126172
231,2020,2,Río Negro,49756,39650,10382,11.331,18.367,128985,501,20,129486
232,2020,2,Salta,59502,81740,24289,5.123,7.108,177760,2,23,177762
233,2020,2,San Juan,40092,8275,5509,7.019,8.882,69521,256,6,69777
234,2020,2,San Luis,8401,8357,6,60.935,36.253,113804,148,21,113952
235,2020,2,Santa Cruz,12845,16044,1027,6.585,2.368,38672,197,7,38869
236,2020,2,Santa Fe,299974,381679,46698,30.487,19.094,777795,137,24,777932
237,2020,2,Santiago Del Estero,25917,72074,355,3.038,4.063,105446,1,10,105447
238,2020,2,Tierra Del Fuego,12854,26025,0,0.0,310.0,38900,289,8,39189
239,2020,2,Tucumán,150084,9833,55120,1.357,762.0,217134,22,33,217156
240,2020,1,Buenos Aires,673237,2210349,720688,85.443,18.334,3702985,5066,45,3708051
241,2020,1,Capital Federal,184494,1097635,38898,3.911,28.556,1352104,1390,59,1353494
242,2020,1,Catamarca,21945,3146,12056,261.0,2.227,39634,1,29,39635
243,2020,1,Chaco,46356,54144,11958,6.239,1.58,120274,3,26,120277
244,2020,1,Chubut,45763,27287,1324,16.885,5.479,95938,800,7,96738
245,2020,1,Córdoba,286168,406109,68512,41.617,8.693,811044,55,29,811099
246,2020,1,Corrientes,51126,53231,2172,2.437,5.004,113967,3,21,113970
247,2020,1,Entre Ríos,90368,95434,13245,18.737,14.062,231833,13,19,231846
248,2020,1,Formosa,21068,8887,1800,14.51,169.0,46434,0,16,46434
249,2020,1,Jujuy,32066,38938,3078,942.0,16.641,91665,0,14,91665
250,2020,1,La Pampa,8553,53755,13821,11.295,1.802,89110,116,7,89226
251,2020,1,La Rioja,13076,34984,0,251.0,29.0,48337,3,8,48340
252,2020,1,Mendoza,91955,50251,28059,12.465,722.0,182837,615,8,183452
253,2020,1,Misiones,51458,69452,1220,460.0,10.962,133552,0,22,133552
254,2020,1,Neuquén,29305,65951,11031,14.711,729.0,121354,373,28,121727
255,2020,1,Río Negro,47756,38479,10381,11.222,18.362,125699,501,19,126200
