Año,Trimestre,Provincia,Correo oficial  + Correos Privados (en Pesos),Correo oficial + Correos Privados (en Unidades)
2019,2,Formosa,71009497.91,1404632
2019,2,Jujuy,47336531.86,1337011
2019,2,La Pampa,47932999.54,1169005
2019,2,La Rioja,26944585.07,319620
2019,2,Mendoza,207368286.7,6633901
2019,2,Misiones,74560925.04,647572
2019,2,Neuquén,89224294.78,1899949
2019,2,Rio Negro,84414418.49,1364749
2019,2,Salta,77909991.3,1482549
2019,2,San Juan,36757528.41,1554252
2019,2,San Luis,33643571.8,906925
2019,2,Santa Cruz,38872320.77,269746
2019,2,Santa Fe,486462101.9,9530947
2019,2,Santiago del Estero,68015172.05,2853764
2019,2,Tierra del Fuego,23484277.47,205655
2019,2,Tucumán,129520633.1,3938569
2019,1,Buenos Aires,1345187716,56854264
2019,1,Capital Federal y GBA,5071941938,131807920
2019,1,Catamarca,26852680.45,610091
2019,1,Chaco,70798748.65,3250601
2019,1,Chubut,67019964.26,909440
2019,1,Córdoba,502446216.3,12787230
2019,1,Corrientes,45640352.29,934668
2019,1,Entre Ríos,106783917.1,2356452
2019,1,Formosa,43744750.75,1024305
2019,1,Jujuy,39530958.53,1436621
2019,1,La Pampa,42820328.32,1188038
2019,1,La Rioja,26427034.03,496159
2019,1,Mendoza,177922552.1,6840207
2019,1,Misiones,63407189.98,524647
2019,1,Neuquén,76335425.28,1814738
2019,1,Rio Negro,72377572.53,1436589
2019,1,Salta,65600429.05,1480371
2019,1,San Juan,37288337.19,1797668
2019,1,San Luis,30192544.72,920074
2019,1,Santa Cruz,35053218,1465797
2019,1,Santa Fe,437200374.2,10335562
2019,1,Santiago del Estero,49149860.85,2825191
2019,1,Tierra del Fuego,28380515.77,248592
2019,1,Tucumán,102643374.5,3757071
2018,4,Buenos Aires,1330179328,50649786
2018,4,Capital Federal y GBA,4850915599,132621822
2018,4,Catamarca,26157465.54,583910
2018,4,Chaco,69620533.43,2807201
2018,4,Chubut,65892241.24,1104029
2018,4,Córdoba,431532345.1,13440007
2018,4,Corrientes,45411423.75,976421
2018,4,Entre Ríos,102026998.3,2303894
2018,4,Formosa,41267238.42,894639
2018,4,Jujuy,34760458.2,1339050
2018,4,La Pampa,38892882.74,2498952
2018,4,La Rioja,21526422.93,320137
2018,4,Mendoza,158549006.6,5677161
2018,4,Misiones,61179594.54,574717
2018,4,Neuquén,75654681.97,1867097
2018,4,Rio Negro,70020713.09,1458129
2018,4,Salta,59937660.59,1549585
2018,4,San Juan,35934440.09,1504343
2018,4,San Luis,32422599.2,1086424
2018,4,Santa Cruz,34899170.28,354245
2018,4,Santa Fe,430011375.5,10262532
2018,4,Santiago del Estero,48791637.76,2647171
2018,4,Tierra del Fuego,23336765.52,289508
2018,4,Tucumán,94624280.72,3622835
2018,3,Buenos Aires,1197931579,53520647
2018,3,Capital Federal y GBA,4890625735,129764362
2018,3,Catamarca,24185278.51,629109.1677
2018,3,Chaco,83211018.41,4145504.328
2018,3,Chubut,65376752.48,1203178.288
2018,3,Córdoba,357532951.8,14897239.96
2018,3,Corrientes,39845241.59,1155172.753
2018,3,Entre Ríos,100856953.4,2639345.525
2018,3,Formosa,32469321.72,990528.3937
2018,3,Jujuy,33575362.81,1584487.059
2018,3,La Pampa,37071829.78,1189198.834
2018,3,La Rioja,26132816.07,672579.238
2018,3,Mendoza,169375961,7054530.319
2018,3,Misiones,61397700.96,634256.5365
2018,3,Neuquén,72260094.63,2055501.766
2018,3,Rio Negro,61904361.12,1556135.368
2018,3,Salta,60726589.28,1884057.164
2018,3,San Juan,34852188.69,1670058.764
2018,3,San Luis,28448874.21,749923.3942
